state_name,number_of_incidents,average_population,average_hate_crimes_per_100k
Alabama,491,4711328,10.421690020308498
Alaska,181,698952,25.89591273792764
Arizona,4441,6399572,69.39526580840094
Arkansas,795,2881606,27.588782088876826
California,23508,37182082,63.22400128104715
Colorado,3284,5069309,64.78200480578319
Connecticut,1936,3528261,54.87122409594981
Delaware,421,890901,47.2555311981915
Florida,3451,18921800,18.238222579247218
Georgia,1053,9644946,10.917634997645399
Hawaii,139,1332802,10.42915601867344
Idaho,835,1552118,53.79745612124851
Illinois,3922,12735729,30.795253259550357
Indiana,1512,6441667,23.47218507259068
Iowa,630,3039706,20.72568860277935
Kansas,1371,2824757,48.535148333113256
Kentucky,2214,4304390,51.435859668849716
Louisiana,624,4542116,13.738090352602178
Maine,1008,1319761,76.37746531379544
Maryland,2554,5756214,44.369441441892185
Massachusetts,6412,6626925,96.75679142286958
Michigan,8224,9983511,82.37582950527124
Minnesota,3481,5304291,65.6261128961439
Mississippi,179,2939612,6.089238988002498
Missouri,2472,5939509,41.61960188965115
Montana,419,986195,42.48652649830916
Nebraska,715,1822143,39.23951083970907
Nevada,1373,2634878,52.10867448132324
New Hampshire,368,1316751,27.947577028610574
New Jersey,8725,8732166,99.91793559581896
New Mexico,449,2002915,22.417326746267317
New York,7254,19421632,37.35010528466403
North Carolina,2036,9399691,21.6602864923964
North Dakota,310,688299,45.038566088284306
Ohio,6157,11545734,53.32705569000637
Oklahoma,1046,3723940,28.088529890384912
Oregon,3062,3836633,79.80956218642753
Pennsylvania,2262,12608662,17.940047881369175
Rhode Island,387,1059672,36.52073471791271
South Carolina,1477,4597851,32.12370300820971
South Dakota,393,819422,47.96063566758032
Tennessee,2931,6311283,46.44063655519805
Texas,6546,25168139,26.009074409514344
Utah,1031,2759851,37.357089205178106
Vermont,331,621519,53.256618059946675
Virginia,2958,7938578,37.26108126669537
Washington,5564,6752426,82.40001445406436
West Virginia,700,1820323,38.45471380628602
Wisconsin,1218,5648552,21.563048370626667
Wyoming,130,546284,23.797145806942908
